monthyear,month,year,county,amount,sales_type
201403,3,2014,EAGLE,201147,medical
201403,3,2014,EL PASO,5929766,medical
201403,3,2014,FREMONT,222270,medical
201403,3,2014,GARFIELD,401766,medical
201403,3,2014,GILPIN,33416,medical
201403,3,2014,GILPIN,131685,retail
201403,3,2014,JEFFERSON,2014285,medical
201403,3,2014,JEFFERSON,1056723,retail
201403,3,2014,LA PLATA,587114,medical
201403,3,2014,LARIMER,1234344,medical
201403,3,2014,PITKIN,157541,medical
201403,3,2014,PUEBLO,375711,medical
201403,3,2014,PUEBLO,1196018,retail
201403,3,2014,ROUTT,214650,medical
201403,3,2014,SAN MIGUEL,75215,medical
201403,3,2014,SAN MIGUEL,319620,retail
201403,3,2014,SUMMIT,253937,medical
201403,3,2014,SUMMIT,1427935,retail
201403,3,2014,WELD,580961,medical
201404,4,2014,ADAMS,452636,medical
201404,4,2014,ARAPAHOE,1517828,medical
201404,4,2014,BOULDER,3136133,medical
201404,4,2014,BOULDER,1835900,retail
201404,4,2014,CLEAR CREEK,92791,medical
201404,4,2014,CLEAR CREEK,369117,retail
201404,4,2014,DENVER,15064678,medical
201404,4,2014,DENVER,12005332,retail
201404,4,2014,EAGLE,178397,medical
201404,4,2014,EL PASO,5535184,medical
201404,4,2014,FREMONT,225243,medical
201404,4,2014,GARFIELD,371447,medical
201404,4,2014,GILPIN,43162,medical
201404,4,2014,GILPIN,114408,retail
201404,4,2014,JEFFERSON,2039086,medical
201404,4,2014,JEFFERSON,1368618,retail
201404,4,2014,LA PLATA,613521,medical
201404,4,2014,LARIMER,1162178,medical
201404,4,2014,MONTEZUMA,108703,medical
201404,4,2014,PITKIN,123525,medical
201404,4,2014,PITKIN,227021,retail
201404,4,2014,PUEBLO,401959,medical
201404,4,2014,PUEBLO,1132339,retail
201404,4,2014,ROUTT,186308,medical
201404,4,2014,SAN MIGUEL,64107,medical
201404,4,2014,SAN MIGUEL,188733,retail
201404,4,2014,SUMMIT,243097,medical
201404,4,2014,SUMMIT,757131,retail
201404,4,2014,WELD,519545,medical
201404,4,2014,WELD,521853,retail
201405,5,2014,ADAMS,467977,medical
201405,5,2014,ARAPAHOE,1511922,medical
201405,5,2014,BOULDER,2823124,medical
201405,5,2014,BOULDER,2354205,retail
201405,5,2014,CHAFFEE,88974,medical
201405,5,2014,CLEAR CREEK,97349,medical
201405,5,2014,CLEAR CREEK,320076,retail
201405,5,2014,DENVER,14150620,medical
201405,5,2014,DENVER,11300905,retail
201405,5,2014,EAGLE,146126,medical
201405,5,2014,EL PASO,5518910,medical
201405,5,2014,FREMONT,239918,medical
201405,5,2014,GARFIELD,434235,medical
201405,5,2014,GARFIELD,292839,retail
201405,5,2014,GILPIN,42979,medical
201405,5,2014,GILPIN,116815,retail
201405,5,2014,JEFFERSON,2037535,medical
201405,5,2014,JEFFERSON,1435895,retail
201405,5,2014,LA PLATA,561810,medical
201405,5,2014,LARIMER,1116171,medical
201405,5,2014,MONTEZUMA,120385,medical
201405,5,2014,PITKIN,95001,medical
201405,5,2014,PITKIN,185390,retail
201405,5,2014,PUEBLO,452196,medical
201405,5,2014,PUEBLO,1417017,retail
201405,5,2014,ROUTT,159620,medical
201405,5,2014,SAN MIGUEL,49679,medical
201405,5,2014,SAN MIGUEL,257276,retail
201405,5,2014,SUMMIT,201566,medical
201405,5,2014,SUMMIT,545898,retail
201405,5,2014,WELD,516873,medical
201405,5,2014,WELD,694205,retail
201406,6,2014,ADAMS,433176,medical
201406,6,2014,ARAPAHOE,1425313,medical
201406,6,2014,BOULDER,2507058,medical
201406,6,2014,BOULDER,2593735,retail
201406,6,2014,CHAFFEE,96647,medical
201406,6,2014,CLEAR CREEK,97965,medical
201406,6,2014,CLEAR CREEK,396938,retail
201406,6,2014,DENVER,13476218,medical
201406,6,2014,DENVER,12245778,retail
201406,6,2014,EAGLE,132878,medical
201406,6,2014,EL PASO,5342494,medical
201406,6,2014,FREMONT,228665,medical
201406,6,2014,GARFIELD,418280,medical
201406,6,2014,GARFIELD,392391,retail
201406,6,2014,GILPIN,38278,medical
201406,6,2014,GILPIN,145630,retail
201406,6,2014,JEFFERSON,1889080,medical
201406,6,2014,JEFFERSON,1445315,retail
201406,6,2014,LA PLATA,544589,medical
201406,6,2014,LARIMER,1112079,medical
201406,6,2014,MONTEZUMA,115548,medical
201406,6,2014,PITKIN,110679,medical
201406,6,2014,PITKIN,322473,retail
201406,6,2014,PUEBLO,403341,medical
201406,6,2014,PUEBLO,1571864,retail
201406,6,2014,SAN MIGUEL,75455,medical
201406,6,2014,SAN MIGUEL,451452,retail
201406,6,2014,SUMMIT,203354,medical
201406,6,2014,SUMMIT,686139,retail
201406,6,2014,WELD,470633,medical
201406,6,2014,WELD,795293,retail
201407,7,2014,ADAMS,452488,medical
201407,7,2014,ARAPAHOE,1470823,medical
201407,7,2014,BOULDER,2547883,medical
201407,7,2014,BOULDER,3192671,retail
201407,7,2014,CHAFFEE,92938,medical
201407,7,2014,CLEAR CREEK,108796,medical
201407,7,2014,CLEAR CREEK,473299,retail
201407,7,2014,DENVER,14083010,medical
201407,7,2014,DENVER,14518417,retail
201407,7,2014,EAGLE,165132,medical
201407,7,2014,EL PASO,5895119,medical
201407,7,2014,FREMONT,250084,medical
201407,7,2014,GARFIELD,446439,medical
201407,7,2014,GARFIELD,403958,retail
201407,7,2014,GILPIN,36110,medical
201407,7,2014,GILPIN,160328,retail
201407,7,2014,GUNNISON,307664,retail
201407,7,2014,JEFFERSON,1913729,medical
201407,7,2014,JEFFERSON,1699749,retail
201407,7,2014,LA PLATA,604088,medical
201407,7,2014,LARIMER,1087000,medical
201407,7,2014,LARIMER,1083910,retail
201407,7,2014,MONTEZUMA,120802,medical
201407,7,2014,PITKIN,117930,medical
201407,7,2014,PITKIN,505148,retail
201407,7,2014,PUEBLO,459326,medical
201407,7,2014,PUEBLO,1985679,retail
201407,7,2014,SAN MIGUEL,49131,medical
201407,7,2014,SAN MIGUEL,548213,retail
201407,7,2014,SUMMIT,189746,medical
201407,7,2014,SUMMIT,981349,retail
201407,7,2014,WELD,303374,medical
201407,7,2014,WELD,1168267,retail
201408,8,2014,ADAMS,481873,medical
201408,8,2014,ARAPAHOE,1453140,medical
201408,8,2014,BOULDER,2728671,medical
201408,8,2014,BOULDER,3644021,retail
201408,8,2014,CHAFFEE,75887,medical
201408,8,2014,CLEAR CREEK,102919,medical
201408,8,2014,CLEAR CREEK,480132,retail
201408,8,2014,DENVER,15861744,medical
201408,8,2014,DENVER,15901236,retail
201408,8,2014,EAGLE,171357,medical
201408,8,2014,EAGLE,414091,retail
201408,8,2014,EL PASO,6327504,medical
201408,8,2014,FREMONT,268966,medical
201408,8,2014,GARFIELD,531623,medical
201408,8,2014,GARFIELD,603468,retail
201408,8,2014,GILPIN,42366,medical
201408,8,2014,GILPIN,155054,retail
201408,8,2014,GUNNISON,309611,retail
201408,8,2014,JEFFERSON,2021406,medical
201408,8,2014,JEFFERSON,1858831,retail
201408,8,2014,LA PLATA,657993,medical
201408,8,2014,LARIMER,1207539,medical
201408,8,2014,LARIMER,1340810,retail
201408,8,2014,MONTEZUMA,132833,medical
201408,8,2014,PITKIN,115179,medical
201408,8,2014,PITKIN,502231,retail
201408,8,2014,PUEBLO,460037,medical
201408,8,2014,PUEBLO,1685115,retail
201408,8,2014,ROUTT,170505,medical
201408,8,2014,SAN MIGUEL,46369,medical
201408,8,2014,SAN MIGUEL,591931,retail
201408,8,2014,SUMMIT,177412,medical
201408,8,2014,SUMMIT,941538,retail
201408,8,2014,WELD,275556,medical
201408,8,2014,WELD,1291047,retail
201409,9,2014,ADAMS,453206,medical
201409,9,2014,ARAPAHOE,1353297,medical
201409,9,2014,BOULDER,2715576,medical
201409,9,2014,BOULDER,3314834,retail
201409,9,2014,CLEAR CREEK,102603,medical
201409,9,2014,CLEAR CREEK,375860,retail
201409,9,2014,DENVER,15196933,medical
201409,9,2014,DENVER,14364191,retail
201409,9,2014,EAGLE,181480,medical
201409,9,2014,EAGLE,379890,retail
201409,9,2014,EL PASO,5953327,medical
201409,9,2014,FREMONT,233349,medical
201409,9,2014,GARFIELD,527700,medical
201409,9,2014,GARFIELD,537711,retail
201409,9,2014,GILPIN,39786,medical
201409,9,2014,GILPIN,138821,retail
201409,9,2014,GUNNISON,255533,retail
201409,9,2014,JEFFERSON,1845807,medical
201409,9,2014,JEFFERSON,1701706,retail
201409,9,2014,LA PLATA,623331,medical
201409,9,2014,LARIMER,1315740,medical
201409,9,2014,LARIMER,1378589,retail
201409,9,2014,MONTEZUMA,125628,medical
201409,9,2014,PITKIN,100612,medical
201409,9,2014,PITKIN,316259,retail
201409,9,2014,PUEBLO,436843,medical
201409,9,2014,PUEBLO,1386314,retail
201409,9,2014,ROUTT,167807,medical
201409,9,2014,SAN MIGUEL,39758,medical
201409,9,2014,SAN MIGUEL,501532,retail
201409,9,2014,SUMMIT,179358,medical
201409,9,2014,SUMMIT,726128,retail
201409,9,2014,WELD,287891,medical
201409,9,2014,WELD,1201206,retail
201410,10,2014,ADAMS,474637,medical
201410,10,2014,ARAPAHOE,1396842,medical
201410,10,2014,BOULDER,2660593,medical
201410,10,2014,BOULDER,3477557,retail
201410,10,2014,CLEAR CREEK,102858,medical
201410,10,2014,CLEAR CREEK,338132,retail
201410,10,2014,DENVER,15006222,medical
201410,10,2014,DENVER,14895186,retail
201410,10,2014,EAGLE,206273,medical
201410,10,2014,EAGLE,356123,retail
201410,10,2014,EL PASO,5742846,medical
201410,10,2014,FREMONT,174220,medical
201410,10,2014,GARFIELD,389617,medical
201410,10,2014,GARFIELD,553834,retail
201410,10,2014,GUNNISON,184394,retail
201410,10,2014,JEFFERSON,1923839,medical
201410,10,2014,JEFFERSON,1714442,retail
201410,10,2014,LA PLATA,531825,medical
201410,10,2014,LARIMER,1232929,medical
201410,10,2014,LARIMER,1523402,retail
201410,10,2014,PITKIN,86614,medical
201410,10,2014,PITKIN,246079,retail
201410,10,2014,PUEBLO,352545,medical
201410,10,2014,PUEBLO,1245865,retail
201410,10,2014,SAN MIGUEL,36239,medical
201410,10,2014,SAN MIGUEL,278409,retail
201410,10,2014,SUMMIT,178233,medical
201410,10,2014,SUMMIT,632225,retail
201410,10,2014,WELD,361629,medical
201410,10,2014,WELD,1126809,retail
201411,11,2014,ADAMS,480189,medical
201411,11,2014,ADAMS,1304091,retail
201411,11,2014,ARAPAHOE,1345048,medical
201411,11,2014,ARAPAHOE,805369,retail
201411,11,2014,BOULDER,2400813,medical
201411,11,2014,BOULDER,3196349,retail
201411,11,2014,CLEAR CREEK,91727,medical
201411,11,2014,CLEAR CREEK,298012,retail
201411,11,2014,DENVER,13469383,medical
201411,11,2014,DENVER,13742869,retail
201411,11,2014,EAGLE,210732,medical
201411,11,2014,EAGLE,373883,retail
201411,11,2014,EL PASO,5223552,medical
201411,11,2014,FREMONT,159257,medical
201411,11,2014,GARFIELD,318967,medical
201411,11,2014,GARFIELD,507297,retail
201411,11,2014,GUNNISON,133062,retail
201411,11,2014,JEFFERSON,1837165,medical
201411,11,2014,JEFFERSON,1679786,retail
201411,11,2014,LA PLATA,459409,medical
201411,11,2014,LA PLATA,647493,retail
201411,11,2014,LARIMER,1185998,medical
201411,11,2014,LARIMER,1493948,retail
201411,11,2014,PITKIN,72294,medical
201411,11,2014,PITKIN,216781,retail
201411,11,2014,PUEBLO,324106,medical
201411,11,2014,PUEBLO,1137217,retail
201411,11,2014,SAN MIGUEL,26291,medical
201411,11,2014,SAN MIGUEL,169659,retail
201411,11,2014,SUMMIT,163698,medical
201411,11,2014,SUMMIT,706675,retail
201411,11,2014,WELD,416639,medical
201411,11,2014,WELD,992006,retail
201412,12,2014,ADAMS,470394,medical
201412,12,2014,ADAMS,1445817,retail
201412,12,2014,ARAPAHOE,1498465,medical
201412,12,2014,ARAPAHOE,1416559,retail
201412,12,2014,BOULDER,2548354,medical
201412,12,2014,BOULDER,3592405,retail
201412,12,2014,CLEAR CREEK,83182,medical
201412,12,2014,CLEAR CREEK,371997,retail
201412,12,2014,DENVER,12138739,medical
201412,12,2014,DENVER,14797861,retail
201412,12,2014,EAGLE,277950,medical
201412,12,2014,EAGLE,710631,retail
201412,12,2014,EL PASO,5517533,medical
201412,12,2014,FREMONT,178729,medical
201412,12,2014,GARFIELD,283365,medical
201412,12,2014,GARFIELD,560065,retail
201412,12,2014,GILPIN,34112,medical
201412,12,2014,GILPIN,103121,retail
201412,12,2014,GUNNISON,228173,retail
201412,12,2014,JEFFERSON,1832756,medical
201412,12,2014,JEFFERSON,1990092,retail
201412,12,2014,LA PLATA,497203,medical
201412,12,2014,LA PLATA,838948,retail
201412,12,2014,LARIMER,1316194,medical
201412,12,2014,LARIMER,1613144,retail
201412,12,2014,MONTEZUMA,117849,medical
201412,12,2014,PITKIN,84226,medical
201412,12,2014,PITKIN,599569,retail
201412,12,2014,PUEBLO,399460,medical
201412,12,2014,PUEBLO,1158670,retail
201412,12,2014,ROUTT,169025,medical
201412,12,2014,ROUTT,493734,retail
201412,12,2014,SAN MIGUEL,43788,medical
201412,12,2014,SAN MIGUEL,292834,retail
201412,12,2014,SUMMIT,205226,medical
201412,12,2014,SUMMIT,1256397,retail
201412,12,2014,WELD,394521,medical
201412,12,2014,WELD,1071049,retail
201501,1,2015,ADAMS,421362,medical
201501,1,2015,ADAMS,1189877,retail
201501,1,2015,ARAPAHOE,1493744,medical
201501,1,2015,ARAPAHOE,1844768,retail
201501,1,2015,BOULDER,2501072,medical
201501,1,2015,BOULDER,3565252,retail
201501,1,2015,CLEAR CREEK,79640,medical
201501,1,2015,CLEAR CREEK,455108,retail
201501,1,2015,DENVER,13374117,medical
201501,1,2015,DENVER,15485689,retail
201501,1,2015,EAGLE,316095,medical
201501,1,2015,EAGLE,825587,retail
201501,1,2015,EL PASO,5582451,medical
201501,1,2015,FREMONT,180201,medical
201501,1,2015,GARFIELD,325730,medical
201501,1,2015,GARFIELD,616641,retail
201501,1,2015,GILPIN,31006,medical
201501,1,2015,GILPIN,112455,retail
201501,1,2015,GUNNISON,273043,retail
201501,1,2015,JEFFERSON,1868844,medical
201501,1,2015,JEFFERSON,2108127,retail
201501,1,2015,LA PLATA,893330,medical
201501,1,2015,LA PLATA,798627,retail
201501,1,2015,LARIMER,1141214,medical
201501,1,2015,LARIMER,1728021,retail
201501,1,2015,LAS ANIMAS,224113,retail
201501,1,2015,MONTEZUMA,114767,medical
201501,1,2015,PITKIN,90522,medical
201501,1,2015,PITKIN,813722,retail
201501,1,2015,PUEBLO,359950,medical
201501,1,2015,PUEBLO,1063092,retail
201501,1,2015,SAN MIGUEL,50579,medical
201501,1,2015,SAN MIGUEL,374588,retail
201501,1,2015,SUMMIT,255639,medical
201501,1,2015,SUMMIT,1685111,retail
201501,1,2015,WELD,340278,medical
201501,1,2015,WELD,1199406,retail
201502,2,2015,ADAMS,434375,medical
201502,2,2015,ARAPAHOE,1402007,medical
201502,2,2015,ARAPAHOE,2114064,retail
201502,2,2015,BOULDER,2257951,medical
201502,2,2015,BOULDER,3209140,retail
201502,2,2015,CLEAR CREEK,77001,medical
201502,2,2015,CLEAR CREEK,416086,retail
201502,2,2015,DENVER,12841486,medical
201502,2,2015,DENVER,14411812,retail
201502,2,2015,EAGLE,292481,medical
201502,2,2015,EAGLE,735296,retail
201502,2,2015,EL PASO,5578020,medical
201502,2,2015,FREMONT,175136,medical
201502,2,2015,GARFIELD,348057,medical
201502,2,2015,GARFIELD,535881,retail
201502,2,2015,GILPIN,28410,medical
201502,2,2015,GILPIN,104647,retail
201502,2,2015,GUNNISON,224407,retail
201502,2,2015,JEFFERSON,1700441,medical
201502,2,2015,JEFFERSON,1960725,retail
201502,2,2015,LA PLATA,892507,medical
201502,2,2015,LA PLATA,840795,retail
201502,2,2015,LARIMER,1111034,medical
201502,2,2015,LARIMER,1685559,retail
201502,2,2015,LAS ANIMAS,287148,retail
201502,2,2015,MONTEZUMA,104595,medical
201502,2,2015,MONTEZUMA,159174,retail
201502,2,2015,PITKIN,75050,medical
201502,2,2015,PITKIN,705757,retail
201502,2,2015,PUEBLO,358140,medical
201502,2,2015,PUEBLO,1039417,retail
201502,2,2015,SAN MIGUEL,41195,medical
201502,2,2015,SAN MIGUEL,300473,retail
201502,2,2015,SUMMIT,246053,medical
201502,2,2015,SUMMIT,1393552,retail
201502,2,2015,WELD,364563,medical
201502,2,2015,WELD,1270638,retail
201503,3,2015,ADAMS,479975,medical
201503,3,2015,ADAMS,1497796,retail
201503,3,2015,ARAPAHOE,1562845,medical
201503,3,2015,ARAPAHOE,2615133,retail
201503,3,2015,BOULDER,2525620,medical
201503,3,2015,BOULDER,3856723,retail
201503,3,2015,CLEAR CREEK,82344,medical
201503,3,2015,CLEAR CREEK,485304,retail
201503,3,2015,DENVER,14406613,medical
201503,3,2015,DENVER,17121933,retail
201503,3,2015,EAGLE,337864,medical
201503,3,2015,EAGLE,862396,retail
201503,3,2015,EL PASO,6380331,medical
201503,3,2015,FREMONT,194875,medical
201503,3,2015,GARFIELD,379738,medical
201503,3,2015,GARFIELD,642659,retail
201503,3,2015,GILPIN,117004,retail
201503,3,2015,GUNNISON,296334,retail
201503,3,2015,JEFFERSON,1861813,medical
201503,3,2015,JEFFERSON,2224610,retail
201503,3,2015,LA PLATA,1017530,medical
201503,3,2015,LA PLATA,1020552,retail
201503,3,2015,LARIMER,1320406,medical
201503,3,2015,LARIMER,1943174,retail
201503,3,2015,LAS ANIMAS,415008,retail
201503,3,2015,MONTEZUMA,133639,medical
201503,3,2015,MONTEZUMA,254446,retail
201503,3,2015,PARK,146105,retail
201503,3,2015,PITKIN,85006,medical
201503,3,2015,PITKIN,896693,retail
201503,3,2015,PUEBLO,463245,medical
201503,3,2015,PUEBLO,1355119,retail
201503,3,2015,ROUTT,199449,medical
201503,3,2015,ROUTT,616913,retail
201503,3,2015,SAN MIGUEL,50730,medical
201503,3,2015,SAN MIGUEL,375409,retail
201503,3,2015,SUMMIT,292686,medical
201503,3,2015,SUMMIT,1727608,retail
201503,3,2015,WELD,386290,medical
201503,3,2015,WELD,1443488,retail
201504,4,2015,ADAMS,474341,medical
201504,4,2015,ADAMS,1611106,retail
201504,4,2015,ARAPAHOE,1559596,medical
201504,4,2015,ARAPAHOE,3257101,retail
201504,4,2015,BOULDER,2559060,medical
201504,4,2015,BOULDER,3973545,retail
201504,4,2015,CHAFFEE,250729,retail
201504,4,2015,CLEAR CREEK,76243,medical
201504,4,2015,CLEAR CREEK,365896,retail
201504,4,2015,DENVER,14953494,medical
201504,4,2015,DENVER,18946519,retail
201504,4,2015,EAGLE,287781,medical
201504,4,2015,EAGLE,516095,retail
201504,4,2015,EL PASO,6540175,medical
201504,4,2015,FREMONT,198045,medical
201504,4,2015,GARFIELD,381432,medical
201504,4,2015,GARFIELD,644631,retail
201504,4,2015,GILPIN,130946,retail
201504,4,2015,GUNNISON,160176,retail
201504,4,2015,JEFFERSON,1931784,medical
201504,4,2015,JEFFERSON,2429996,retail
201504,4,2015,LA PLATA,493486,medical
201504,4,2015,LA PLATA,930516,retail
201504,4,2015,LARIMER,1277080,medical
201504,4,2015,LARIMER,2045132,retail
201504,4,2015,LAS ANIMAS,471514,retail
201504,4,2015,MONTEZUMA,124006,medical
201504,4,2015,MONTEZUMA,313150,retail
201504,4,2015,PARK,121375,retail
201504,4,2015,PITKIN,65486,medical
201504,4,2015,PITKIN,426689,retail
201504,4,2015,PUEBLO,389146,medical
201504,4,2015,PUEBLO,1318252,retail
201504,4,2015,ROUTT,193801,medical
201504,4,2015,ROUTT,433152,retail
201504,4,2015,SAN MIGUEL,38531,medical
201504,4,2015,SAN MIGUEL,150531,retail
201504,4,2015,SUMMIT,305570,medical
201504,4,2015,SUMMIT,953219,retail
201504,4,2015,WELD,350491,medical
201504,4,2015,WELD,1521411,retail
201505,5,2015,ADAMS,495716,medical
201505,5,2015,ADAMS,1687270,retail
201505,5,2015,ARAPAHOE,1588756,medical
201505,5,2015,ARAPAHOE,3615509,retail
201505,5,2015,BOULDER,2451648,medical
201505,5,2015,BOULDER,4281906,retail
201505,5,2015,CHAFFEE,312605,retail
201505,5,2015,CLEAR CREEK,96276,medical
201505,5,2015,CLEAR CREEK,348152,retail
201505,5,2015,DENVER,15598475,medical
201505,5,2015,DENVER,17590490,retail
201505,5,2015,EAGLE,259399,medical
201505,5,2015,EAGLE,432292,retail
201505,5,2015,EL PASO,6793848,medical
201505,5,2015,FREMONT,200945,medical
201505,5,2015,GARFIELD,407487,medical
201505,5,2015,GARFIELD,720995,retail
201505,5,2015,GILPIN,143079,retail
201505,5,2015,GUNNISON,176131,retail
201505,5,2015,JEFFERSON,1933694,medical
201505,5,2015,JEFFERSON,2538231,retail
201505,5,2015,LA PLATA,452253,medical
201505,5,2015,LA PLATA,1155547,retail
201505,5,2015,LARIMER,1292742,medical
201505,5,2015,LARIMER,2292433,retail
201505,5,2015,LAS ANIMAS,606835,retail
201505,5,2015,MONTEZUMA,136143,medical
201505,5,2015,MONTEZUMA,403035,retail
201505,5,2015,PARK,154563,retail
201505,5,2015,PITKIN,57287,medical
201505,5,2015,PITKIN,329419,retail
201505,5,2015,PUEBLO,396182,medical
201505,5,2015,PUEBLO,1482501,retail
201505,5,2015,ROUTT,163870,medical
201505,5,2015,ROUTT,419611,retail
201505,5,2015,SAN MIGUEL,153689,retail
201505,5,2015,SUMMIT,224409,medical
201505,5,2015,SUMMIT,719343,retail
201505,5,2015,WELD,342765,medical
201505,5,2015,WELD,1636318,retail
201506,6,2015,ADAMS,441872,medical
201506,6,2015,ARAPAHOE,1525525,medical
201506,6,2015,ARAPAHOE,3753244,retail
201506,6,2015,BOULDER,2363534,medical
201506,6,2015,BOULDER,4273572,retail
201506,6,2015,CLEAR CREEK,90303,medical
201506,6,2015,CLEAR CREEK,441514,retail
201506,6,2015,DENVER,16545160,medical
201506,6,2015,DENVER,17280785,retail
201506,6,2015,EAGLE,259462,medical
201506,6,2015,EAGLE,534649,retail
201506,6,2015,EL PASO,7050814,medical
201506,6,2015,FREMONT,205924,medical
201506,6,2015,GARFIELD,430562,medical
201506,6,2015,GARFIELD,798425,retail
201506,6,2015,GILPIN,183787,retail
201506,6,2015,GRAND,142695,retail
201506,6,2015,GUNNISON,273865,retail
201506,6,2015,JEFFERSON,1833049,medical
201506,6,2015,JEFFERSON,2584940,retail
201506,6,2015,LA PLATA,425100,medical
201506,6,2015,LA PLATA,1283234,retail
201506,6,2015,LARIMER,1219011,medical
201506,6,2015,LARIMER,2321397,retail
201506,6,2015,LAS ANIMAS,714276,retail
201506,6,2015,MONTEZUMA,127877,medical
201506,6,2015,MONTEZUMA,463559,retail
201506,6,2015,PARK,191938,retail
201506,6,2015,PITKIN,77058,medical
201506,6,2015,PITKIN,570064,retail
201506,6,2015,PUEBLO,569375,medical
201506,6,2015,PUEBLO,1517777,retail
201506,6,2015,ROUTT,159915,medical
201506,6,2015,ROUTT,485969,retail
201506,6,2015,SAN MIGUEL,51852,medical
201506,6,2015,SAN MIGUEL,315531,retail
201506,6,2015,SUMMIT,215753,medical
201506,6,2015,SUMMIT,925580,retail
201506,6,2015,WELD,287920,medical
201506,6,2015,WELD,1693656,retail
201507,7,2015,ADAMS,456679,medical
201507,7,2015,ADAMS,1822902,retail
201507,7,2015,ARAPAHOE,1629440,medical
201507,7,2015,ARAPAHOE,4482419,retail
201507,7,2015,BOULDER,2638188,medical
201507,7,2015,BOULDER,4926814,retail
201507,7,2015,CLEAR CREEK,97914,medical
201507,7,2015,CLEAR CREEK,558033,retail
201507,7,2015,DENVER,19786382,medical
201507,7,2015,DENVER,19851838,retail
201507,7,2015,EAGLE,310266,medical
201507,7,2015,EAGLE,745007,retail
201507,7,2015,EL PASO,8504081,medical
201507,7,2015,FREMONT,242306,medical
201507,7,2015,GARFIELD,481231,medical
201507,7,2015,GARFIELD,953213,retail
201507,7,2015,GILPIN,185927,retail
201507,7,2015,GRAND,230218,retail
201507,7,2015,GUNNISON,454862,retail
201507,7,2015,JEFFERSON,2038463,medical
201507,7,2015,JEFFERSON,2891081,retail
201507,7,2015,LA PLATA,486029,medical
201507,7,2015,LA PLATA,1529417,retail
201507,7,2015,LARIMER,1401524,medical
201507,7,2015,LARIMER,2714363,retail
201507,7,2015,LAS ANIMAS,1009958,retail
201507,7,2015,MONTEZUMA,142880,medical
201507,7,2015,MONTEZUMA,572832,retail
201507,7,2015,PARK,235832,retail
201507,7,2015,PITKIN,94939,medical
201507,7,2015,PITKIN,850341,retail
201507,7,2015,PUEBLO,699033,medical
201507,7,2015,PUEBLO,1852589,retail
201507,7,2015,ROUTT,186072,medical
201507,7,2015,ROUTT,631836,retail
201507,7,2015,SAN MIGUEL,51293,medical
201507,7,2015,SAN MIGUEL,387509,retail
201507,7,2015,SUMMIT,246327,medical
201507,7,2015,SUMMIT,1304307,retail
201507,7,2015,WELD,364477,medical
201507,7,2015,WELD,1878564,retail
201508,8,2015,ADAMS,414843,medical
201508,8,2015,ADAMS,2007490,retail
